,state,x,y
0,Andhra Pradesh,-67,-179
1,Arunachal Pradesh,277,172
2,Assam,240,119
3,Bihar,93,82
4,Chhattisgarh,0,-29
5,Goa,-206,-187
6,Gujarat,-254,18
7,Haryana,-139,178
8,Himachal Pradesh,-113,253
9,Jharkhand,75,23
10,Karnataka,-163,-221
11,Kerala,-142,-324
12,Madhya Pradesh,-79,16
13,Maharashtra,-162,-82
14,Manipur,273,72
15,Meghalaya,213,90
16,Mizoram,256,35
17,Nagaland,286,115
18,Odisha,62,-48
19,Punjab,-162,229
20,Rajasthan,-205,115
21,Sikkim,145,136
22,Tamil Nadu,-93,-308
23,Telangana,-79,-121
24,Tripura,217,93
25,Uttar Pradesh,-32,115
26,Uttarakhand,-66,205
27,West Bengal,139,20
28,Jammu and Kashmir,-126,328
